gene_name,oncogenicCategory,editor,edit_date,field
BCL2L2,Neither,loader,2020-04-22-17-23-09-847337,OncogenicCategory_omnigene_599
BCL6,Oncogene,loader,2020-04-22-17-23-11-839465,OncogenicCategory_omnigene_604
BCL9,Oncogene,loader,2020-04-22-17-23-13-429329,OncogenicCategory_omnigene_607
BCOR,Tumor Suppressor Gene,loader,2020-04-22-17-23-15-556738,OncogenicCategory_omnigene_54880
BCORL1,Both,loader,2020-04-22-17-23-18-539770,OncogenicCategory_omnigene_63035
BCR,Neither,loader,2020-04-22-17-23-22-946383,OncogenicCategory_omnigene_613
BIRC2,Oncogene,loader,2020-04-22-17-23-25-608415,OncogenicCategory_omnigene_329
BIRC3,Oncogene,loader,2020-04-22-17-23-27-988694,OncogenicCategory_omnigene_330
BLM,Tumor Suppressor Gene,loader,2020-04-22-17-23-40-348536,OncogenicCategory_omnigene_641
BMPR1A,Both,loader,2020-04-22-17-23-43-346040,OncogenicCategory_omnigene_657
BRAF,Oncogene,loader,2020-04-22-17-23-47-022013,OncogenicCategory_omnigene_673
BRCA1,Tumor Suppressor Gene,loader,2020-04-22-17-23-51-689816,OncogenicCategory_omnigene_672
BRCA2,Tumor Suppressor Gene,loader,2020-04-22-17-23-55-530572,OncogenicCategory_omnigene_675
BRD4,Oncogene,loader,2020-04-22-17-24-01-850155,OncogenicCategory_omnigene_23476
BRIP1,Tumor Suppressor Gene,loader,2020-04-22-17-24-05-042535,OncogenicCategory_omnigene_83990
BTG1,Tumor Suppressor Gene,loader,2020-04-22-17-24-07-033672,OncogenicCategory_omnigene_694
BTK,Oncogene,loader,2020-04-22-17-24-09-753387,OncogenicCategory_omnigene_695
BTLA,Neither,loader,2020-04-22-17-24-13-237315,OncogenicCategory_omnigene_151888
CALR,Oncogene,loader,2020-04-22-17-24-22-753258,OncogenicCategory_omnigene_811
CARD11,Oncogene,loader,2020-04-22-17-24-25-372430,OncogenicCategory_omnigene_84433
CASP8,Tumor Suppressor Gene,loader,2020-04-22-17-24-28-451211,OncogenicCategory_omnigene_841
CBFB,Tumor Suppressor Gene,loader,2020-04-22-17-24-30-070762,OncogenicCategory_omnigene_865
CBL,Oncogene,loader,2020-04-22-17-24-32-220715,OncogenicCategory_omnigene_867
